num_iter,objectids_to_keep,prot,nn_d,area_buff,prox,eca,flux,awf,pc,protconn,protconn_prot,protconn_unprot,protconn_trans,protconn_within,protconn_contig,iic,bc,degree,clustering_coeff,compartment,cohesion,gyrate,aw_gyrate,mean_patch_area,mean_patch_peri,mean_patch_shape,total_edge,edge_density
21,"161,163,164,165,166,000,000,000,000,000,000,000,000,000",10.8918,46782.90571,817698576,138.8517529,NA,NA,NA,NA,4.5273,23.0019,23.0019,76.9981,3.486,1.0414,NA,0.071428571,0.102040816,0.125,1,97.58309956,10361.03971,29489.51062,84500,199000,1.710361207,0,0
22,"161,163,164,165,166,000,000,000,000,000,000,000,000,000",10.3415,43854.5491,776847512.2,135.8798573,NA,NA,NA,NA,4.0969,19.3138,19.3138,80.6862,3.3057,0.7913,NA,0.071428571,0.091836735,0.125,1,97.57661179,10433.2186,29436.23831,112400,256000,1.905392444,0,0
23,"161,163,164,165,166,000,000,000,000,000,000,000,000,000",11.6191,44158.01685,858498203.1,136.9117121,NA,NA,NA,NA,4.6416,22.7967,22.7967,77.2033,3.5834,1.0581,NA,0.071428571,0.086734694,0.142857143,1,97.58095164,10280.14492,29342.74067,50150,132000,1.508863173,0,0
24,"161,163,164,165,166,000,000,000,000,000,000,000,000,000",10.1017,46336.36205,762548550.6,135.8798573,NA,NA,NA,NA,3.9325,18.7675,18.7675,81.2325,3.1945,0.738,NA,0.071428571,0.091836735,0.125,1,97.57490743,8570.049876,29567.7227,123150,216000,1.580539222,0,0
25,"161,163,164,165,166,000,000,000,000,000,000,000,000,000",11.591,43510.35102,856025179.7,137.7239991,NA,NA,NA,NA,4.6408,22.8057,22.8057,77.1943,3.5825,1.0584,NA,0.071428571,0.076530612,0.071428571,1,97.57694862,10238.47697,29351.10236,51350,141000,1.644980073,0,0
26,"161,163,164,165,166,000,000,000,000,000,000,000,000,000",11.1286,41464.31003,829674949.2,133.3406957,NA,NA,NA,NA,4.5513,22.3414,22.3414,77.6586,3.5345,1.0168,NA,0.071428571,0.091836735,0.125,1,97.57878582,10290.56948,29448.75823,76900,201000,1.822156013,0,0
27,"161,163,164,165,166,000,000,000,000,000,000,000,000,000",11.3943,44326.40094,827339170.4,116.4726098,NA,NA,NA,NA,4.4894,20.4915,20.4915,79.5085,3.5694,0.9199,NA,0,0.086734694,0.125,1,97.56904957,9808.972285,29409.36595,64750,172000,1.715238984,0,0
28,"161,163,164,165,166,000,000,000,000,000,000,000,000,000",10.6841,45521.25889,780940983.5,112.1097225,NA,NA,NA,NA,4.0859,16.0671,16.0671,83.9329,3.4294,0.6565,NA,0,0.081632653,0.125,1,97.58139814,5490.817695,29527.5453,95600,210000,1.700204974,0,0
29,"161,163,164,165,166,000,000,000,000,000,000,000,000,000",10.8308,53058.11293,795437434.2,40.43035337,NA,NA,NA,NA,4.5467,23.241,23.241,76.759,3.49,1.0567,NA,0.071428571,0.091836735,0.125,1,97.54977835,9808.972285,29516.517,61766.66667,175333.3333,1.848343871,0,0
30,"161,162,165,166,167,000,000,000,000,000,000,000,000,000",10.0575,45502.39453,758942214.5,17157.34483,NA,NA,NA,NA,3.8396,17.7655,17.7655,82.2345,3.1575,0.6821,NA,0,0.102040816,0.172619048,1,97.61902622,10829.55949,29544.99995,125200,295000,2.122710332,0,0
