"Metric","Min","Mean","Max","Variance","Kurtosis"
"Prox",-9.8983128710073,20.8077276998574,281.036212466026,2223.62106856346,16.4039174453127
"Dist",-17.381627031461,-8.74677209627172,-1.64167571087271,9.84707785705488,2.89227166531708
"Compart",-22.0542272513059,-1.4581749679429,14.1293070315638,35.1821293045976,3.74693322919432
"ClusCoeff",-6.26802428176054,11.0904818916285,36.3666989156558,55.8871204844653,3.8484319016366
"Flux",16.9221223666734,23.1459450768153,31.9598006444589,10.9684977674637,2.55521534133105
"Degree",-7.10932798715703,0.162901610390881,11.8588087029405,14.6583247792293,2.78024332398768
"Gyrate",-7.14056475453651,-1.07057361356381,6.35023932688844,7.30858158451464,3.27790737637448
"BC",-1.27268115942029,128.585768842525,541.465696277965,13659.5543366027,3.13958987499733
"Cohesion",-0.128366667290062,-0.0172216796093203,0.345594251431071,0.00991347759842561,7.7095791786877
"BA",-7.2802240808592,2.08503591617633,50.433608538957,72.1231364575494,12.9561428226034
"AWGyrate",-6.33669305877398,0.707177587350249,35.0048614120607,85.7173499243785,10.0620856572682
"AWF",0.323887100584306,100.41103939359,683.711465583462,39096.960873915,3.71336200170349
"IIC",0.0543578026615719,7.56131388919915,87.3281968974503,415.954012406268,11.1831650763928
"PC",0.133531927102239,9.5266415232746,98.8722021004137,464.97438554969,11.5870273805669
"ECA",0.139391704155358,9.91864946616091,95.9725695302658,556.315468588775,10.0773765374778
"ProtConn",0.139391710065245,9.91864947151562,95.9725695233765,556.315468694631,10.0773765365643
"Prot",1.35378547998711,10.0602587488845,47.9245457061157,103.511662800492,8.1195354798864
