,Prox,Dist,Compart,ClusCoeff,Flux,Degree,Gyrate,BC,Cohesion,BA,AWGyrate,AWF,IIC,PC,ECA,ProtConn,PctArea
PC1,-0.07470593914316137,0.5589852624258783,-0.27160378462196216,-0.005317141152721845,-0.12475950394737485,-0.3065545129216082,-0.7302043163028547,-0.5017565862939148,-0.9128123940114938,-0.23557452484749605,-0.6794512329526137,-0.9674806925391501,-0.9888661618375045,-0.9743423143180783,-0.9875377385501894,-0.9875377385429784,-0.9097898646896715
PC2,-0.307163407926059,0.5592905661043203,0.819572504831215,-0.760728084533024,-0.8007084904263176,-0.5717911575244468,-0.14055271564004063,0.21594882989631248,-0.061164872129806654,0.11695002530921264,-0.258671986907748,0.16353011468589312,0.08006146073389239,0.07504402487647545,0.12759880119131956,0.12759880125815065,0.030783044738333362
PC3,-0.14460700299845827,0.030372408933243153,-0.30513649037384705,0.2351035527187374,-0.5239867389290334,-0.6883310729240908,0.5778196232302204,-0.585408517455806,0.2302356250802774,-0.4860039920711639,0.5073501877428918,-0.07583343035462822,-0.07989335408415472,-0.14005902862232728,-0.05364762030204766,-0.053647620280366945,0.23302047323934086
