"Metric","Min","Mean","Max","Variance","Kurtosis"
"Prox",-9.6912718542103,32.5122837863617,408.224846971728,6811.30731379394,8.24533644392761
"Dist",-22.5330924411643,-14.1707658924603,-6.21990231392277,11.3184845838185,2.76890629585623
"Compart",-28.6773280170746,-2.65700855967642,13.6047936102205,97.8719685267894,3.60863472175694
"ClusCoeff",-0.453824732776603,3.16414015000244,5.80603146498683,1.93347597123489,2.8872851551428
"Flux",16.9371880760757,19.7575982382074,23.1660999611673,1.74838565065854,2.76754585086521
"Degree",-3.52863396183362,-0.127940540764081,4.78579336818187,2.69975175255664,3.30104369647117
"Gyrate",-2.98028686035866,0.236018563848375,7.4052104059413,4.94717122095549,4.14743035714856
"BC",9.11125413475448,109.008047437562,428.443593642898,7762.29830427927,4.85607868388452
"Cohesion",-0.121899674711294,0.142098961969749,1.64149355891416,0.104869715114419,9.03044658697285
"BA",-6.92193916968975,18.7960177504616,197.495334826388,1208.85396545628,14.0075642799796
"AWGyrate",-5.4533272716456,2.64426632418093,59.2185050080894,167.485895949945,10.6756150155725
"AWF",0.455773986265384,41.3402523759996,376.031297974546,4740.14017763484,11.0621623898009
"IIC",0.696403022393682,14.900218745776,89.0256564269778,436.725094568676,6.10834261433807
"PC",0.707065826762211,20.6472011664234,119.427030205788,677.161147605276,6.00283376580153
"ECA",0.887732878618177,22.4524321216039,149.86317437978,993.365200852721,6.97498376638556
"ProtConn",0.887726536024752,22.4524244237446,149.863158662969,993.365076028652,6.97498376689379
"Prot",1.69856437824184,12.7388927730156,64.7235690676917,181.147856566279,7.05076792036841
