,Prot,Dist,BA,Prox,ECA,Flux,AWF,PC,ProtConn,IIC,BC,Degree,ClusCoeff,Compart,Cohesion,Gyrate,AWGyrate
pc1,-0.3075440070709211,0.2374012781887067,-0.2946474957789696,-0.012929499923536593,-0.3032345783720036,-0.1296862014502925,-0.30380023350260255,-0.3024622413342114,-0.3032345783779044,-0.3056317611707651,-0.20154962097660056,-0.14926108019306888,-0.13354073812402026,0.10294494866684697,-0.29605833965972334,-0.16005232786969292,-0.28207110157892057
pc2,0.08272460025726874,0.005240136719315745,-0.1283757519846296,-0.13690658380856496,0.07155603352972081,-0.6167952987927289,0.07284755998627897,0.06997149377325469,0.07155603353507847,0.06093377607738253,-0.08825550403902796,-0.5982858037725425,-0.1540061987912818,-0.1277148791614364,0.07598650605405094,0.3673687518892301,0.08255346766779825
pc3,-0.04394769989735005,-0.2192326820368625,-0.04216865674775858,-0.42789309606311116,-0.10767540971503689,0.05287415055572983,-0.09112519801729524,-0.0975410747894111,-0.1076754096488032,-0.09053631686684224,-0.10735648244407202,0.06616732631367084,0.5640725154763364,-0.5897349480569063,-0.08907320850699074,0.15274790053752674,0.0013355576608032466
