,Prot,Dist,BA,Prox,ECA,Flux,AWF,PC,ProtConn,IIC,BC,Degree,ClusCoeff,Compart,Cohesion,Gyrate,AWGyrate
pc1,-0.31700640918006645,0.16082049277514365,-0.3312774005168183,-0.037271654921836116,-0.34241424784485397,-0.03865098498097125,-0.335446398716322,-0.34348842901865567,-0.3424142478372977,-0.3445358863469886,-0.1968367555382386,-0.11327339941292748,0.04364561258753116,-0.0,-0.10306253907317582,-0.15967278443084193,0.2961579312552668
pc2,0.06855559888028977,-0.0072200331704829895,0.04176633980720458,-0.404893891383746,0.0441458918308001,-0.5259582363426798,0.06059014365543989,-0.02412674663027897,0.04414589183905247,0.015411660154064739,-0.01751774409287791,-0.4179284770039499,-0.43214697627064924,-0.0,-0.42033068775192506,0.03952530505501876,-0.06768833591951316
pc3,0.24131652859164862,-0.16915775025433594,0.14082651594103773,0.35363596244464746,-0.04015385133560816,-0.21709294055424264,-0.0845068280569952,-0.0006192161505685495,-0.04015385131895738,-0.022339329986874823,-0.48196067300773676,-0.4050433220249271,0.04889597873698872,0.0,0.34448631221473053,-0.3617327207111104,-0.2490145884131598
